name,category,phone,website,address,city,country,rating,review_count,opening_hours,description,google_maps_url,latitude,longitude,source_query,scraped_at,status
Dinvarmepumpemægler.dk,HVAC contractor,,https://xn--dinvarmepumpemgler-1ub.dk/,"Johnstrups Allé, 1923 Frederiksberg",Copenhagen,Denmark,5.0,,WednesdayOpen 24 hoursThursdayOpen 24 hoursFridayOpen 24 hoursSaturdayOpen 24 hoursSundayOpen 24 hoursMondayOpen 24 hoursTuesdayOpen 24 hours,RestaurantsHotelsThings to doTransitParkingPharmaciesATMs,https://www.google.com/maps/place/Dinvarmepumpem%C3%A6gler.dk/data=!4m7!3m6!1s0x465253c33fd57567:0x88465658731e1d91!8m2!3d55.6812719!4d12.5501907!16s%2Fg%2F11z563zz4w!19sChIJZ3XVP8NTUkYRkR0ec1hWRog?authuser=0&hl=en&rclk=1,55.6812719,12.5501907,Aircondition Installatør Copenhagen Denmark,2026-07-01T08:12:31+00:00,ok
Københavns El & Klima ApS,Electrician,88 63 88 63,https://elklima.dk/,"Ejby Industrivej 28B, 2600 Glostrup",Copenhagen,Denmark,3.7,,Wednesday8 am–4 pmThursday8 am–4 pmFriday8 am–4 pmSaturdayClosedSundayClosedMonday8 am–4 pmTuesday8 am–4 pm,RestaurantsHotelsThings to doTransitParkingPharmaciesATMs,https://www.google.com/maps/place/K%C3%B8benhavns+El+%26+Klima+ApS/data=!4m7!3m6!1s0x465251c7d695a1e7:0x500192aabc2df27d!8m2!3d55.694112!4d12.4255277!16s%2Fg%2F11bz_yl_ck!19sChIJ56GV1sdRUkYRffItvKqSAVA?authuser=0&hl=en&rclk=1,55.694112,12.4255277,Aircondition Installatør Copenhagen Denmark,2026-07-01T08:12:35+00:00,ok
Dansk Køl & Klima - Kølefirma København,Air conditioning contractor,70 20 38 00,https://danskkoel.dk/,,Copenhagen,Denmark,5.0,,Wednesday8 am–4 pmThursday8 am–4 pmFriday8 am–4 pmSaturdayClosedSundayClosedMonday8 am–4 pmTuesday8 am–4 pm,RestaurantsHotelsThings to doTransitParkingPharmaciesATMs,https://www.google.com/maps/place/Dansk+K%C3%B8l+%26+Klima+-+K%C3%B8lefirma+K%C3%B8benhavn/data=!4m7!3m6!1s0x46525381d6678821:0xe1c6d31f121d699c!8m2!3d55.6741049!4d12.5518471!16s%2Fg%2F11hzw5h3sv!19sChIJIYhn1oFTUkYRnGkdEh_TxuE?authuser=0&hl=en&rclk=1,55.6741049,12.5518471,Aircondition Installatør Copenhagen Denmark,2026-07-01T08:12:39+00:00,ok
D. S. Køleteknik,Air conditioning contractor,40 84 72 40,http://www.dsklima.dk/,"Emdrupvej 26, 2100 København",Copenhagen,Denmark,3.7,,WednesdayOpen 24 hoursThursdayOpen 24 hoursFridayOpen 24 hoursSaturdayOpen 24 hoursSundayOpen 24 hoursMondayOpen 24 hoursTuesdayOpen 24 hours,RestaurantsHotelsThings to doTransitParkingPharmaciesATMs,https://www.google.com/maps/place/D.+S.+K%C3%B8leteknik/data=!4m7!3m6!1s0x4652526837c197b5:0xba1224af8a4adca0!8m2!3d55.719127!4d12.5527389!16s%2Fg%2F1hc3rwd22!19sChIJtZfBN2hSUkYRoNxKiq8kEro?authuser=0&hl=en&rclk=1,55.719127,12.5527389,Aircondition Installatør Copenhagen Denmark,2026-07-01T08:12:42+00:00,ok
Niels Duhns Eftf.,Air conditioning contractor,36 46 50 50,https://el-duhn.dk/,"Nystedvej 1, 2500 København",Copenhagen,Denmark,4.2,,Wednesday7 am–3 pmThursday7 am–3 pmFriday7 am–3 pmSaturdayClosedSundayClosedMonday7 am–3 pmTuesday7 am–3 pm,RestaurantsHotelsThings to doTransitParkingPharmaciesATMs,https://www.google.com/maps/place/Niels+Duhns+Eftf./data=!4m7!3m6!1s0x465253e4e8e90ea3:0x32a63bb80c6e3c33!8m2!3d55.6691036!4d12.4931903!16s%2Fg%2F1wcxbp_y!19sChIJow7p6ORTUkYRMzxuDLg7pjI?authuser=0&hl=en&rclk=1,55.6691036,12.4931903,Aircondition Installatør Copenhagen Denmark,2026-07-01T08:12:45+00:00,ok
Kølefirmaet Peter Sand A/S,Air conditioning contractor,40 74 11 12,http://www.petersand.dk/,"H. V. Nyholms Vej 2, 2000 Frederiksberg",Copenhagen,Denmark,3.7,,,RestaurantsHotelsThings to doTransitParkingPharmaciesATMs,https://www.google.com/maps/place/K%C3%B8lefirmaet+Peter+Sand+A%2FS/data=!4m7!3m6!1s0x465253a718d2de63:0xf3f417d793cf284!8m2!3d55.679278!4d12.5136553!16s%2Fg%2F11y22y_xg!19sChIJY97SGKdTUkYRhPI8eX1BPw8?authuser=0&hl=en&rclk=1,55.679278,12.5136553,Aircondition Installatør Copenhagen Denmark,2026-07-01T08:12:49+00:00,ok
Expert vvs ApS,Heating contractor,31 51 80 89,https://expertvvs.dk/,"Avnedevej, 2730 Herlev",Copenhagen,Denmark,5.0,,Wednesday8 am–4 pmThursday8 am–4 pmFriday8 am–4 pmSaturday8 am–4 pmSunday8 am–4 pmMonday8 am–4 pmTuesday8 am–4 pm,RestaurantsHotelsThings to doTransitParkingPharmaciesATMs,https://www.google.com/maps/place/Expert+vvs+ApS/data=!4m7!3m6!1s0x46525100a57eb4cb:0xe56c3e36fbbcca42!8m2!3d55.7309052!4d12.4347556!16s%2Fg%2F11ymkwcdb2!19sChIJy7R-pQBRUkYRQsq8-zY-bOU?authuser=0&hl=en&rclk=1,55.7309052,12.4347556,Aircondition Installatør Copenhagen Denmark,2026-07-01T08:12:52+00:00,ok
Aircold,Air conditioning contractor,70 27 01 66,https://www.aircold.dk/,"Vævergangen 18, 2690 Karlslunde",Copenhagen,Denmark,3.8,,WednesdayOpen 24 hoursThursdayOpen 24 hoursFridayOpen 24 hoursSaturdayClosedSundayClosedMondayOpen 24 hoursTuesdayOpen 24 hours,RestaurantsHotelsThings to doTransitParkingPharmaciesATMs,https://www.google.com/maps/place/Aircold/data=!4m7!3m6!1s0x4652f7caa37b42a5:0xca71ba3e638cd8f0!8m2!3d55.5702212!4d12.2360048!16s%2Fg%2F11b8c4y6zk!19sChIJpUJ7o8r3UkYR8NiMYz66cco?authuser=0&hl=en&rclk=1,55.5702212,12.2360048,Aircondition Installatør Copenhagen Denmark,2026-07-01T08:12:55+00:00,ok
VVS København,Heating contractor,71 63 82 03,https://xn--vvskbenhavn-jgb.nu/,"Strandvejen 100, 2900 Hellerup",Copenhagen,Denmark,5.0,,Wednesday7 am–11 pmThursday7 am–11 pmFriday7 am–11 pmSaturday7 am–10 pmSunday7 am–10 pmMonday7 am–11 pmTuesday7 am–11 pm,RestaurantsHotelsThings to doTransitParkingPharmaciesATMs,https://www.google.com/maps/place/VVS+K%C3%B8benhavn/data=!4m7!3m6!1s0x4652539251fd3a15:0x558d1675549476b8!8m2!3d55.7326994!4d12.5760091!16s%2Fg%2F11zbfcd2pg!19sChIJFTr9UZJTUkYRuHaUVHUWjVU?authuser=0&hl=en&rclk=1,55.7326994,12.5760091,Aircondition Installatør Copenhagen Denmark,2026-07-01T08:12:59+00:00,ok
Energi-Rigtig VVS ApS,Heating contractor,41 29 29 07,http://www.energi-rigtigvvs.dk/,"Frederikssundsvej 119G, 2700 København",Copenhagen,Denmark,4.7,,Wednesday7 am–4 pmThursday7 am–4 pmFriday7 am–1 pmSaturdayClosedSundayClosedMonday7 am–4 pmTuesday7 am–4 pm,RestaurantsHotelsThings to doTransitParkingPharmaciesATMs,https://www.google.com/maps/place/Energi-Rigtig+VVS+ApS/data=!4m7!3m6!1s0x465253a85de12bff:0x93ddc6cb13735d51!8m2!3d55.7060192!4d12.5130042!16s%2Fg%2F11b5pj27rp!19sChIJ_yvhXahTUkYRUV1zE8vG3ZM?authuser=0&hl=en&rclk=1,55.7060192,12.5130042,Aircondition Installatør Copenhagen Denmark,2026-07-01T08:13:04+00:00,ok
